name,title,relevance,link
0,Student Services,0,https://www.sfu.ca/students.html
0_1,Enrollment Services,1,https://www.sfu.ca/students/enrolment-services.html
0_1_1,GoSfu Guide,1,https://www.sfu.ca/students/enrolment-services/gosfu.html
0_1_1_1,GoSFU Link,1,https://sims.erp.sfu.ca/
0_1_1_2,How to Access GoSFU,1,https://sfu.teamdynamix.com/TDClient/255/ITServices/KB/ArticleDet?ID=8077
0_1_2,Enrollment,1,https://www.sfu.ca/students/enrolment-services/enrolment.html
0_1_2_1,Before the Enrol,0,https://www.sfu.ca/students/enrolment-services/enrolment/before-you-enrol.html
0_1_2_2,How to Enrol,0,https://www.sfu.ca/students/enrolment-services/enrolment/how-to-enrol.html
0_1_2_3,Withdraw/drop/waitlist,0,https://www.sfu.ca/students/enrolment-services/enrolment/withdraw-drop-waitlist.html
0_1_3,SFU ID Card,0,https://www.sfu.ca/students/enrolment-services/id-card.html
0_1_3_1,Lost or Stolen Card,0,https://www.sfu.ca/students/enrolment-services/id-card/replacement-and-maintenance.html
0_1_3_2,Getting your ID Card,0,https://www.sfu.ca/students/enrolment-services/id-card/getting-your-id-card.html
0_1_3_3,Using your Card,0,https://www.sfu.ca/students/enrolment-services/id-card/using-your-card.html
0_1_3_4,Change your Name,0,https://www.sfu.ca/students/enrolment-services/id-card/changing-your-name.html
0_1_3_5,FAQ for ID,0,https://www.sfu.ca/students/enrolment-services/id-card/faq.html
0_1_4,U-Pass BC,0,https://www.sfu.ca/students/enrolment-services/upass.html
0_1_4_1,General Information for U-Pass,0,https://www.sfu.ca/students/enrolment-services/upass/general-info.html
0_1_4_2,Eligibility,0,https://www.sfu.ca/students/enrolment-services/upass/eligibility.html
0_1_4_3,Term Fees,2,https://www.sfu.ca/students/enrolment-services/upass/fees.html
0_1_4_4,Load your Compass Card,0,https://www.sfu.ca/students/enrolment-services/upass/loading.html
0_1_4_5,using your Compass Card,0,https://www.sfu.ca/students/enrolment-services/upass/using-your-compass-card.html
0_1_4_6,FAQ for U-Pass,0,https://www.sfu.ca/students/enrolment-services/upass/faq.html
0_1_5,Fees,2,https://www.sfu.ca/students/enrolment-services/fees.html
0_1_5_1,Check your Balance,0,https://www.sfu.ca/students/enrolment-services/fees/check-your-balance.html
0_1_5_2,How to Pay Fees,2,https://www.sfu.ca/students/enrolment-services/fees/how-to-pay.html
0_1_5_3,Medical Insurance,3,https://www.sfu.ca/students/enrolment-services/fees/medical-insurance.html
0_1_5_4,Refund Information,2,https://www.sfu.ca/students/enrolment-services/fees/refunds.html
0_1_5_5,International Fees,2,https://www.sfu.ca/students/enrolment-services/fees/international-fees-policies.html
0_1_6,Exams,0,https://www.sfu.ca/students/enrolment-services/exams.html
0_1_6_1,Student Responsibilities,0,https://www.sfu.ca/students/enrolment-services/exams/student-responsibilities.html
