Question,Answer,File,URL
What is the address of the Indigenous Student Centre?,"8888 University Drive, Burnaby, B.C., Canada V5A 1S6",0_10,https://www.sfu.ca/students/indigenous.html
What is the postal code for the address listed?,V5A 1S6,0_10,https://www.sfu.ca/students/indigenous.html
What city and province is the Indigenous Student Centre located in?,"Burnaby, British Columbia",0_10,https://www.sfu.ca/students/indigenous.html
What are the Indigenous Student Centre staff hours?,Monday to Friday from 8:30am to 4:30pm,0_10,https://www.sfu.ca/students/indigenous.html
On which days are ISC staff available?,Monday to Friday,0_10,https://www.sfu.ca/students/indigenous.html
What does ISC stand for?,Indigenous Student Centre,0_10,https://www.sfu.ca/students/indigenous.html
Where can I find contact information for the Indigenous Student Centre?,"Visit our Contact Us page.
8888 University Drive, Burnaby, B.C., Canada V5A 1S6
Staff available Monday to Friday, 8:30am–4:30pm",0_10,https://www.sfu.ca/students/indigenous.html
Which Indigenous peoples does the Indigenous Student Centre acknowledge?,"xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səl̓ilw̓ətaʔɬ (Tsleil‑Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_10,https://www.sfu.ca/students/indigenous.html
Which Indigenous peoples does Simon Fraser University acknowledge?,"xʷməθkʷəy̓əm (Musqueam)
Sḵwx̱wú7mesh Úxwumixw (Squamish)
səl̓ilw̓ətaʔɬ (Tsleil-Waututh)
q̓íc̓əy̓ (Katzie)
kʷikʷəƛ̓əm (Kwikwetlem)
Qayqayt
Kwantlen
Semiahmoo
Tsawwassen",0_10,https://www.sfu.ca/students/indigenous.html
How many campuses does the acknowledgement reference?,three,0_10,https://www.sfu.ca/students/indigenous.html
Are the campuses described as being on unceded traditional territories?,Yes,0_10,https://www.sfu.ca/students/indigenous.html
Are there options available to support undergraduate students’ passions and academic goals?,Yes.,0_10,https://www.sfu.ca/students/indigenous.html
Are there options available to support graduate students’ passions and academic goals?,Yes,0_10,https://www.sfu.ca/students/indigenous.html
Does the extracted text mention a Terms & Conditions page?,Yes,0_10,https://www.sfu.ca/students/indigenous.html
Does the extracted text mention a Privacy Policy?,Yes,0_10,https://www.sfu.ca/students/indigenous.html
Who holds the copyright for the website content?,Simon Fraser University,0_10,https://www.sfu.ca/students/indigenous.html
What is the street number of the University Drive address?,8888,0_10,https://www.sfu.ca/students/indigenous.html
Is the Indigenous Student Centre open on weekends according to the provided hours?,No.,0_10,https://www.sfu.ca/students/indigenous.html
What time does the Indigenous Student Centre open each weekday?,8:30am,0_10,https://www.sfu.ca/students/indigenous.html
What time does the Indigenous Student Centre close each weekday?,4:30pm,0_10,https://www.sfu.ca/students/indigenous.html
Are Fall 2026 residence applications now open?,Yes,0_11,https://www.sfu.ca/students/residences.html
What reasons does the site give for living in residences?,"Greater academic success
Meeting your potential lifelong BFF
Late-night study sessions
Early-morning jogs
Joining a diverse community
Freedom
Self-discovery
Exploration",0_11,https://www.sfu.ca/students/residences.html
Do student residents share their experiences on the site?,Yes,0_11,https://www.sfu.ca/students/residences.html
How has the process of choosing a building been simplified?,"By offering building and room tours, resident‑taken photos, and clear information on available options.",0_11,https://www.sfu.ca/students/residences.html
What options are available to help me choose a building?,"Room and building tours
Resident-taken photos",0_11,https://www.sfu.ca/students/residences.html
Can I take room and building tours and view resident-taken photos?,Yes,0_11,https://www.sfu.ca/students/residences.html
"What kinds of campus life experiences are mentioned (e.g., late-night study sessions, morning jogs)?","Greater academic success
Meeting your potential lifelong bff
Late-night study sessions
Early morning jogs
Room and building tours
Resident-taken photos
Joining a diverse residence community
Freedom
Self-discovery
Exploration",0_11,https://www.sfu.ca/students/residences.html
What community values does SFU Residence encourage?,"freedom, self-discovery and exploration",0_11,https://www.sfu.ca/students/residences.html
Does the site provide information to help me get ready for university life?,Yes — it includes information on getting ready for university life and joining SFU Residence communities.,0_11,https://www.sfu.ca/students/residences.html
Where is the Residence Administration Building located?,"2010 Courtyard Residence, 8888 University Drive SFU, Burnaby BC, V5A 1S6",0_11,https://www.sfu.ca/students/residences.html
What is the mailing address for SFU Residence and Housing?,"Residence Administration Building
2010 Courtyard Residence
8888 University Drive SFU
Burnaby BC V5A 1S6",0_11,https://www.sfu.ca/students/residences.html
